悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
弥次喜多, やじきた, 仲の良い滑稽な二人組
野蛮草昧, やばんそうまい, 文化・文明が未発達で、世の中の秩序が乱れている様子。 「野蛮」は、教養がなく粗野で乱暴なこと
山雀利根, やまがらりこん, 小賢しいが実際の役には立たない者のこと。 「山雀やまがら」はシジュウカラ科の鳥
八岐大蛇, やまたのおろち, 日本神話に登場する、八つの頭と八つの尾を持つ巨大な蛇
大和撫子, やまとなでしこ, 清楚で美しい日本人女性をナデシコの花に見立てて言う美称。 植物の「河原撫子かわらなでしこ」の異称としても用いられる
野無遺賢, やむいけん, 能力を持った賢人は、自ずとその能力を発揮できる場所に行き着くということ
唯一無二, ゆいいつむに, この世界にただ一つしかないこと。 他にはない貴重なもの
有為多望, ゆういたぼう, 才能があり、将来の可能性に多くの希望が持てること。 「有為」は、才能があること
有害無益, ゆうがいむえき, 害があるだけで何の役にも立たないこと。 悪影響ばかり出現し、何の利益や得にもならないこと
有厚無厚, ゆうこうむこう, 詭弁きべん。 不合理なことを屁理屈によって正当化しようとすること
雄材大略, ゆうざいたいりゃく, 大きな事業計画と、それを達成するための能力を有した人材。 「雄材」は、優秀な才能のこと
優勝劣敗, ゆうしょうれっぱい, 強い者が勝ち残り、弱い者が負けること。 生存競争で、環境に適した者や強者が生き残り、不適応者や弱者が滅びること
遊刃余地, ゆうじんよち, 余裕をもって物事をに取り組むことの喩え。 「遊刃、余地有り」と読み下す
優性遺伝, ゆうせいいでん, 有性生殖の遺伝に関する現象
勇壮活発, ゆうそうかっぱつ, 勇ましく、元気盛んなこと。 「勇壮」は、勇敢なこと
有職故実, ゆうそくこじつ, 古来の先例に基づいた、朝廷や公家、武家の行事・法令・制度・風俗・習慣・官職・儀式・装束などのこと
優美高妙, ゆうびこうみょう, 気品があって美しく、高く優れていること。 「優美」は上品で美しいこと、「高妙」は極めて優れていることを意味する
有備無患, ゆうびむかん, 日頃から充分に準備をしておけば、有事の際にも困らないということ
幽明異境, ゆうめいいきょう, 死別することの表現。弔辞などで用いられる
勇猛精進, ゆうもうしょうじん, 勇ましく堂々としていて、なおかつ精力的に物事を行うこと。 「勇猛」は勇ましく猛々しいこと
愉快活発, ゆかいかっぱつ, 楽しく生き生きとして、心地のよいこと
遊戯三昧, ゆげざんまい, 自由気ままに遊びほうけること。物事に耽ふけって夢中になること
遊山翫水, ゆさんがんすい, 野山や水辺で遊ぶこと。また、山や川などの美しい自然の景色を見て楽しむこと
山桜桃梅, ゆすらうめ, バラ科サクラ属の落葉低木の果樹。サクランボに似た赤い小さな実をつける
油断大敵, ゆだんたいてき, 「注意を怠れば必ず失敗を招く」という、気の緩みを戒めた言葉
用意周到, よういしゅうとう, 心遣いが隅々まで行き届いて、準備に手抜かりがない状態。 用意が充分に整っていること
用意万端, よういばんたん, 準備が充分に整って、手抜かりが全く無いこと。 同義語：「準備万端じゅんびばんたん」
用管窺天, ようかんきてん, 細い管を覗き込んで天を覗き見るという意味。視野が狭くて見識が足りないという意味
陽関三畳, ようかんさんじょう, 中国音楽の曲名。もとは歌曲で、後に琴曲の代表曲となった
要害堅固, ようがいけんご, 険しい地形に陣を敷き、防備が固く容易には破られないこと。 「要害」は敵の攻撃から守りやすい険しい地形
用行舎蔵, ようこうしゃぞう, 身の振り方が巧みなことの喩え。 自分の成果や貢献を正当にアピールし、受け入れられない時はじっと機会を待つこと
養子縁組, ようしえんぐみ, 民法に基づいて、血縁関係のない人同士に親子関係を発生させる制度
羊質虎皮, ようしつこひ, 外見は立派だが、内面がそれに伴っていないことの喩え。 実際は羊なのに、虎の皮を被っているという意味
傭書自資, ようしょじし, 人に雇われて文章を書くことを仕事にして、生計を立てること。 「傭書」は雇われて文書を書き写すこと
幼児洗礼, ようじせんれい, キリスト教において、幼児に対して行なわれる入信の儀式。 別表記：「小児洗礼」
用心堅固, ようじんけんご, しっかりと気を配っていて、極めて注意深いこと
養生喪死, ようせいそうし, 生きている者を充分に養い、死んだ者を手厚く弔うこと。 「生せいを養やしない死を喪そうす」と訓読する
羊腸小径, ようちょうしょうけい, 羊の腸のように曲がりくねった山道
羊頭狗肉, ようとうくにく, 羊だと看板に出し犬の肉を売るように、見かけと中身が一致していないこと。 同義語：「牛首馬肉ぎゅうしゅばにく」
蠅頭細書, ようとうさいしょ, 非常に細かい文字のこと。 「蠅頭」はハエの頭
羊頭馬脯, ようとうばほ, 看板には羊の頭を売ると掲げておきながら、実際には馬の干し肉を売るという意味で、見せかけだけは立派で、実質がそれに伴わ...
用和為貴, ようわいき, 人と人とが仲良く協力することが最も大切だという教え。 聖徳太子が定めた「十七条憲法」の第一条にある有名な言葉
沃野千里, よくやせんり, 土地の肥えた原野が、広々と続いていること。広大に開けた肥沃な平野のたとえ
余情残心, よじょうざんしん, 茶道の心得のひとつ。 茶会が終了した後も客のことを思い続けるというおもてなしの心
頼芸求食, らいげいきゅうしょく, 芸に頼って生活すること。 また今の地位や収入に未練があって、なかなか辞めようとしないこと
落穽下石, らくせいかせき, 穴に落ちた人に、上から石を落とすことから、人の弱みにつけ込んで、さらに害を加えることを意味する
落筆点蠅, らくひつてんよう, 過ちをうまく処理して、逆に上手に仕上げること。画家の巧みな技の喩え
洛陽紙価, らくようのしか, 著書が評判となり、よく売れて読まれること。 「洛陽」は地名、「紙価」は紙の価格のこと
落花啼鳥, らっかていちょう, 花が散り、鳥が鳴く晩春の寂しげな風景。 孟浩然もうこうねんの漢詩『春暁』が出典
乱雑無章, らんざつむしょう, 物事が無秩序のままに放置されていること。 「乱雑らんざつにして章しょう無し」と訓読する
乱臣賊子, らんしんぞくし, 国に害を与える家臣と、親不孝な子供。 人の道を外れ悪事を働く人のこと
乱筆乱文, らんぴつらんぶん, いい加減なことを書くこと。 手紙などの書面で、まとまりのない文章や読みにくい文字について謝罪するための言葉
利害関係, りがいかんけい, 同一の物事によって、同じ利益を得たり、同じ損害を被ったり、互いに影響し合う関係
利害得失, りがいとくしつ, 利益と損失のこと。 得るものと失うもの
力戦奮闘, りきせんふんとう, 全力を尽くして戦うこと。懸命に努力すること
利休七哲, りきゅうしちてつ, 日本の茶道の歴史において特に名高い、千利休の高弟のうち七人
六言六蔽, りくげんりくへい, 努力をして学問や教養を積めば六つの徳が備わるが、怠ると六つの弊害が出てくるという孔子の教え
六韜三略, りくとうさんりゃく, 中国の兵法書である『六韜』と『三略』のこと。 ともに太公望「呂尚りょしょう」が書いたとされるため並称される
戮力協心, りくりょくきょうしん, 力を合わせ心を一つにして物事に取り組むこと。 「戮力」は力を合わせること
離合集散, りごうしゅうさん, 離れたり集まったりすること。 または、協力したり対立したりすること
理世撫民, りせいぶみん, うまく世を治め、民衆を労いたわること。政治のあるべき姿
柳暗花明, りゅうあんかめい, 柳が薄暗く茂り、花が明るく咲く、春の美しい景色の形容
流金鑠石, りゅうきんしゃくせき, 厳しい暑さの喩え。 十個の太陽が同時に昇って金属や石さえも溶かしていたという古代中国の神話が由来
竜華三会, りゅうげさんえ, 仏教用語
流觴曲水, りゅうしょうきょくすい, 陰暦の三月三日に行われた風習
流芳後世, りゅうほうこうせい, 良い評判や名声を後世まで残すこと。 「芳ほうを後世こうせいに流す」と訓読する
流連荒亡, りゅうれんこうぼう, 仕事もせずに、酒を飲んだり遊びに耽って、家にも帰らず放蕩を極めること
良弓難張, りょうきゅうなんちょう, 才能ある人材は、部下として使うのは難しいが、上手に使えばたいへん役に立つということ
良妻賢母, りょうさいけんぼ, 夫にとって良い妻であり、子供にとって賢い母親であること
梁上君子, りょうじょうくんし, 泥棒や盗賊のこと。または鼠ねずみの異名
両性具有, りょうせいぐゆう, 男女の両性を兼ね備えた存在
量体裁衣, りょうたいさいい, 体の寸法に合わせて布を裁断し衣服を作るという意味。 状況に合わせて、最も現実的な方法を使って処理すること
良知良能, りょうちりょうのう, 人間が生まれながらに持っている知恵と才能のこと。 孟子もうしの性善説せいぜんせつに基づく考え方
良風美俗, りょうふうびぞく, 善良で美しい風俗、風習、習慣のこと
緑葉成陰, りょくようせいいん, 影ができるほどに緑の葉が生い茂るという意味で、女性が嫁いで多くの子を産み育てることの喩え
利用価値, りようかち, 利用するだけの値打ち。 利用することで得られる価値や生ずる効果のこと
輪奐一新, りんかんいっしん, 建物を新築、増築または改築して、規模が大きく立派で美しくなること。 「輪奐」は建物が壮大で美しいこと
臨機応変, りんきおうへん, その時々の状況の変化に応じて、適切な処置を施すこと。 「臨機」は事態に臨のぞむこと
臨終正念, りんじゅうしょうねん, 臨終に際して、一心に阿弥陀仏を念じて極楽往生を願うこと。死に臨むときも心を穏やかに保つこと
臨戦態勢, りんせんたいせい, 戦いに臨む準備ができている状態。 「臨戦」は、戦いに直面すること
輪廻転生, りんねてんしょう, 死んでは生まれ変わり、何度も生死を繰り返すこと。 もともとは仏教用語
累世同居, るいせいどうきょ, 数世代の子孫が同じ家に同居すること。家族が一つの家に一緒に住むこと
類比推理, るいひすいり, 物事の間に見られる類似点を比較したりして、相互関係や共通点を推測すること
流転輪廻, るてんりんね, 仏教用語。 三界六道と呼ばれる世界で、生と死を繰り返すこと
冷汗三斗, れいかんさんと, 恥ずかしい思いをしたり、恐ろしい思いをして、冷や汗がたくさん出ること
礼楽刑政, れいがくけいせい, 古代中国で国家を整え、秩序を維持するための四つの基本の指針。『礼節』『音楽』『刑罰『政令』のこと
冷眼傍観, れいがんぼうかん, 物事の成り行きを、冷ややかな目でただ眺めていること。 または冷静な態度で推移を見守ること
冷酷無残, れいこくむざん, 人間らしい心が欠如しており、残忍であること。 「冷酷無慙」とも書く
冷静沈着, れいせいちんちゃく, 何事にも動じずに落ち着いていること。 「冷静」は感情的にならずに理性的で落ち着いた態度のこと
冷淡無情, れいたんむじょう, 同情する心がないこと
冷暖自知, れいだんじち, もとは仏教用語で、水が冷たいか温かいかは自分で飲んでみれば分かるという意味
霊肉一致, れいにくいっち, 霊魂と肉体は同じように大切であるというキリスト教の思想。 対義語：「霊肉相剋れいにくそうこく」
令聞令望, れいぶんれいぼう, 優れた評判。名声
連戦連勝, れんせんれんしょう, 戦う度に勝つこと。負けを知らずに勝ち続けること
連戦連敗, れんせんれんぱい, 次々に戦って、そのたびごとに負け続けること。 常に勝負に勝てない選手などのこと
連帯責任, れんたいせきにん, 複数の者がある行為について、共同で責任を負うこと
狼子野心, ろうしやしん, 狼おおかみの子は飼われていても、本来は野性動物であるために飼い主に懐かないという意味
老成円熟, ろうせいえんじゅく, 年齢を重ね、経験が豊富で、人格・知識・技能が充分に熟練していること
老成持重, ろうせいじちょう, 充分に経験を積んでいて、さらに慎重なこと。 「老成」は経験を積んで、人格・技能・教養などが充分に熟達していること
籠鳥恋雲, ろうちょうれんうん, 籠の中の鳥が、大空の雲に恋焦がれるという意味。 転じて、束縛されている者が自由を望むこと
老当益壮, ろうとうえきそう, 老年になっても益々盛んな気持ちで困難に立ち向かうこと。 「老いては当まさに益ますます壮さかんなるべし」と訓読みする
老婆心切, ろうばしんせつ, 必要以上に世話を焼くこと。 本来は仏教用語で、老婆が子や孫を大切に思う慈愛の心を意味する
炉火純青, ろかじゅんせい, 炉の火炎が青色になると温度も最高に達する。転じて、知識や技術が最高の水準に達することの喩え
魯魚章草, ろぎょしょうそう, 「魯」と「魚」、「章」と「草」の文字の形が似ていることから、文字を書き誤ることを指す。 類義語：「魯魚之謬」
鹿死誰手, ろくしすいしゅ, 誰が天下はを統一するか、まだ不明な状態のこと。勝敗が決まらない状態
六菖十菊, ろくしょうじゅうぎく, 五月五日の端午の節句に間に合わない、六日の菖蒲しょうぶ。 九月九日の重陽ちょうようの節句に間に合わない、十日の菊
六道輪廻, ろくどうりんね, 六種の世界で生死をくり返すこと。 仏教用語で「六道」は地獄・餓鬼・畜生・修羅・人間・天上のこと
六根清浄, ろっこんしょうじょう, 欲や迷いを断ち切って心身が清らかになることを意味する
炉辺談話, ろへんだんわ, フランクリン・ルーズベルト大統領が実施した、国民向けラジオ演説。 囲炉裏の近くでするようなおしゃべり、世間話
論功行賞, ろんこうこうしょう, 功績をあげたものに相応した賞を与えること。 「功こうを論ろんじ賞しょうを行おこなう」と訓読する
論旨明快, ろんしめいかい, 議論の趣旨が明らかでしっかりしていること。 『論旨明解』とも書く
和敬清寂, わけいせいじゃく, 茶道で重んじられる精神のこと
和光同塵, わこうどうじん, 賢人が、自分の才能や知恵を隠して、俗世間に調子を合わせること。 「和光」は光を和らげること
和魂漢才, わこんかんさい, 日本固有の精神を失わないで、中国伝来の学問を消化・活用するべきであるということ
和魂洋才, わこんようさい, 日本固有の精神を失わないで、西洋の文化を学び、巧みに両者を調和させること
和差積商, わさせきしょう, 「和」は足し算の答え。 「差」は引き算の答え
和而不同, わじふどう, 他人と協力はしても、自分の立場を忘れて無闇矢鱈に同調しないこと。 子曰く、君子は和して同ぜず
和衷協同, わちゅうきょうどう, 心を通わせ、力を合わせて物事に対処すること。 「和衷」は心から親しみ合うこと
和風慶雲, わふうけいうん, 穏やかに吹く風と吉兆を示す雲。 本来は孔子の弟子の顔回がんかいの温厚で徳の備わった人格者を表現するのに使われた言葉
和洋折衷, わようせっちゅう, 和風（もしくは東洋風）と西洋風のものを共に取り合わせて用いる様式。 幕末の朱子学者「斎藤拙堂」が唱えた
腕白小僧, わんぱくこぞう, 元気で悪戯が好きな子供。 主に男の子に対して用いる
乎古止点, をことてん, 漢文の読み方を指示するために、それぞれの漢字の四隅・上下・中央・左右に記述する訓読方法を指示するための補助記号
哀哀父母, あいあいふぼ, 自分を生んで苦労を重ねてくれた父母の死を悼み、その恩に報いることができず哀しむこと。
安養浄土, あんにょうじょうど, 阿弥陀仏の極楽浄土のこと。往生した者は、心を安んじ、身を養うところからいう。安養世界。安養界。
安楽浄土, あんらくじょうど, 仏教において、阿弥陀仏がいるという安楽の世界。また、すべてが満たされていることのたとえ。
衣帯中賛, いたいちゅうのさん, 中国南宋の文天祥という人物が、処刑されるときに帯の中に残した文章のこと。または、仁義や忠節を守り通すこと。
一樹百穫, いちじゅひゃっかく, 人材を育成することは、大きな利益につながるということ。また、大計を成功させるには人材の育成が必要であるということ。
一塵法界, いちじんほっかい, 一つのちりの中にも、全宇宙の真理が含まれているということ。または、真理はどんなものからでも見出すことができるということ。
一了百了, いちりょうひゃくりょう, 一つが解決すれば、すべてのことが解決すること。または、根本の一つから、全体を推測できること。
一家眷族, いっかけんぞく, 家族や親族、血縁者のこと。または、その家臣や部下のこと。
"一銭一厘, 	いっせんいちりん, ほんの少しの金銭のこと。または、非常に少ないこと。"
飲河満腹, いんかまんぷく, 自分の身の丈に合った欲望で満足するべきであるということ。
"雨奇晴好, 	うきせいこう, 晴れでも雨でも美しい景色のこと。山水の景色は、雨の日は趣きがあり、晴れた日は美しく、どちらも見事であるという意味。"
雲煙過眼, うんえんかがん, 雲や煙が留まることなく目の前を過ぎ去っていくように、物事に過剰に執着することがないこと。または、物事にとらわれすぎずさっぱりしていること。
屋梁落月, おくりょうらくげつ, 友人を思う切ない心情のこと。「落月」は沈んでいく月のこと。「屋梁」は屋根を支えるはり、または屋根のこと。
海闊天空, かいかつてんくう, 性格が大らかでさっぱりしていること。「海闊」は広大な海のこと。「天空」はすっきりと晴れ渡る広い空のこと。
官官接待, かんかんせったい, 地方の公務員が公費を使って、中央の公務員を接待すること。「官官」は公務員同士という意味。
帰依三宝, きえさんぽう, 仏門に入り、仏教徒になること。「帰依」は仏の教えに従い、信じること。「三宝」は仏と仏の教え、それを布教する僧のこと。
奇怪千万, きっかいせんばん, いつもとは違っていて物凄く不気味なこと。または、酷く礼儀や道理にはずれていること。
機知機略, きちきりゃく, 時と場合に応じて、すばやく働く鋭い知恵やはかりごと。
機知縦横, きちじゅうおう, 時と場所に応じて自由自在に才知を働かせること。
協心戮力, きょうしんりくりょく, 力を合わせて一致協力して物事に取り組むこと。「戮」と「協」はどちらも合わせるという意味で、似た意味の言葉を重ねて強調した言葉。
虚気平心, きょきへいしん, 心を空にして落ち着けること。「虚気」は感情をなくすこと。「平心」は心を落ち着けること。
曲水流觴, きょくすいりゅうしょう, 曲がりくねった小さな川の上流に、酒の入った杯を浮かべ、自分の前を流れていってしまう前に詩を作って、杯の酒を飲むという風流な遊びのこと。
玉石混交, ぎょくせきこんこう, 良いものと悪いもの、または価値の高いものと低いものが混在していることのたとえ。「玉石」は宝石と石のことから、優れている人と劣った人、または、良いものと悪いもののたとえ。
挙国一致, きょこくいっち, 国が一つにまとまって力をあわせること。「挙国」は国中を挙げて、国全体という意味。
居中調停, きょちゅうちょうてい, 国際間の紛争を、第三国が間に立って平和に解決するようにとりもつこと。
岐路亡羊, きろぼうよう, 進路や方針が多すぎて何を選ぶべきかわからなくなること。または、学問の道が細かく分かれすぎていて、学問の根本を捉えにくいことのたとえ。
近郷近在, きんごうきんざい, 近い場所にある村。近所の村々。または、大きな町に近い村。
兼愛交利, けんあいこうり, 全ての人を愛して、互いに利益を与え合うこと。「兼愛」は全ての人を愛するという意味。
牽強付会, けんきょうふかい, 自分に都合がいいように、滅茶苦茶な理屈をこじつけること。どちらも理屈をこじつけるという意味。
見性成仏, けんしょうじょうぶつ, 自身の持つ仏としての性質を見極め、悟りの境地に至ること。禅宗の言葉で、全ての人は本質的に仏になる資質を持っているということをいう言葉。
玄冬素雪, げんとうそせつ, 冬と雪。雪の降る冬。また、冬のきわめて寒いこと。
賢良方正, けんりょうほうせい, 賢くて行いが正しいということ。または、中国の漢や唐の時代以降に行われた、官吏を登用するときの試験の科目の名前。
高歌放吟, こうかほうぎん, 大声で歌を歌ったり、周りを気にせずに詩を吟じたりすること。「高歌」は大きな声で歌うこと。「放吟」は周りを気にせずに詩歌を吟じること。
攻城野戦, こうじょうやせん, 野原や平地で戦闘をして、城を攻めること。「攻城」は城を攻めること。「野戦」は野外で戦うこと。
強談威迫, ごうだんいはく, 要求に従わせるために、激しく脅すこと。「強談」は強引に話の決着をつけること。「威迫」は恐怖で相手を従わせようとすること。
高談雄弁, こうだんゆうべん, 思いっきり議論すること。「高談」は盛んに議論を戦わせること。「雄弁」は力強く説得力のあることを言うこと。
枯木死灰, こぼくしかい, 煩悩や邪な欲望などがない無心のたとえ。または、情熱や元気がないことのたとえ。
五倫十起, ごりんじっき, 公平で清く正しい人でも私心はあるということ。「五倫」は人の名前。
採花汲水, さいかきっすい, 仏に供えるために、木の実を採り花を摘み水を汲むこと。仏道修行の難行苦行のたとえ。
才徳兼備, さいとくけんび, すぐれた才能と知恵、人徳を持っていること。「才徳」は才能、知恵、人徳。「兼備」はどちらも身に付けていること。
昨非今是, さくひこんぜ, 昨日までは間違いだと思っていたことが今日は正しいと思えること。または、今になって過去の行いが過ちであったと気づいて悔いること。
作礼而去, さらいにこ, 諸経文の結末の句。仏の説教が終わって聴衆が会場を退出するとき、いっしょに仏に礼をすること。
三釁三浴, さんきんさんよく, 相手のことを大切に思う心を言い表す言葉。人を待つ間に何度も体を洗って、良い香りの香を塗るという意味から。
三面六臂, さんめんろっぴ, 一人で数人分の成果をあげること。または、様々な違う分野で活躍すること。
自己批判, じこひはん, 個人および政党などが自己の行為，方針，思想をみずから誤謬として反省すること。
思索生知, しさくせいち, 道筋を立ててじっくりと追いながら考えると、よい知恵が生まれるということ。「思索」は道筋をたてて追いながら考えること。「生知」は知恵が生まれること。
志士仁人, ししじんじん, 学徳をそなえた立派な人のこと。「志士」は道や学問に高潔な志を持つ人のこと。「仁人」は徳のある人のこと。
七難九厄, しちなんくやく, 男女とも七と九のつく年齢のときには災厄に遭いやすいという俗信のこと。
視聴言動, しちょうげんどう, 見る、聞く、言う、行動するの四つのことで、この四つの礼儀にかなうよう慎むこと。
失笑噴飯, しっしょうふんぱん, 食べている飯を噴き出してしまうほど、おかしくて笑ってしまうこと。
車蛍孫雪, しゃけいそんせつ, 苦学のたとえ。「車」「孫」はどちらも苦学していた人物の名前。
羞花閉月, しゅうかへいげつ, 容姿が極めて美しいこと。「羞」は恥らうこと。美しさに花も恥じらい、月も恥ずかしがって雲に隠れてしまうほどの美女という意味から。
周知徹底, しゅうちてってい, 全ての人にしっかりと知れ渡らせること。
相如四壁, しょうじょしへき, 貧しいことのたとえ。「相如」は人の名前。
笑比河清, しょうひかせい, 厳しい性格で、笑顔を見せることがほとんどないこと。「河清」は黄河の水が澄き透ること。
心猿意馬, しんえんいば, 煩悩や情欲などの欲望に、心を乱されて落ち着かないこと。または、そのような欲望を抑えることができないことのたとえ。
仁者無敵, じんしゃむてき, 人徳が備わった人には、敵になる人がいないということ。「仁者」は仁徳が備わっている人、仁徳者。
神仙思想, しんせんしそう, 古代中国の思想で、俗世を超越した不老不死の仙人になろうとする考えをいう。
神仏混交, しんぶつこんこう, 神道と仏教の信仰をうまく融合させること。「混交」は区別できないほどに入り混じること。
精神統一, せいしんとういつ, 他のことに気を散らさずに、心を一つにして集中すること。目的を達成するために他のことに気を散らさず、そのことだけに集中する心の持ち方のこと。
斉東野語, せいとうやご, 根拠がなく信じるに値しない言葉や、下品で愚かな言葉。「斉東」は中国の戦国時代の斉の国の東部。「野語」は下品で田舎びている言葉。
生離死別, せいりしべつ, 非常に辛い別れのこと。生き別れと死に別れということから。
積日累久, せきじつるいきゅう, 役人などが功績や功労を長い期間積み重ねること。「積日」は日数を重ねること。「累久」はいつまでも続くこと。
切歯腐心, せっしふしん, 激しく怒って、思い悩むこと。「切歯」は歯軋りをするということから、怒った顔のたとえ。「腐心」は心を悩ますこと。
絶世独立, ぜっせいどくりつ, 美しい女性の容姿をいう言葉。「絶世」はこの世に並ぶものが存在しないということ。「独立」は他と離れていて、一つだけ立っていること。
浅見短慮, せんけんたんりょ, 考え方や見識が低く、思慮が足りないこと。または、そのさま。自分をへりくだっていう言葉。
前人未到, ぜんじんみとう, 今までに誰一人として成し遂げたことがないこと。または、誰も足を踏み入れたことがないこと。
仙風道骨, せんぷうどうこつ, 普通の人とは違う、すぐれた人の姿のこと。仙人や道士などのこの世を超越した人の姿ということから。
総量規制, そうりょうきせい, 上限を定めて、それを超えるような取引や使用などを防ぐ政策のこと。融資の上限を定めて過度の上昇を抑制したり、工場からの汚染物質の排出量の上限を決めて、環境を保護したりするもの。
多情仏心, たじょうぶっしん, 感情が豊かで気が変わりやすいが、情が深く無慈悲になれないこと。仏の慈悲の心のことをいう言葉で、人や物事への情が多いという意味から。
単文孤証, たんぶんこしょう, 証拠としてあまり役に立たないもの。不十分で信用できない証拠のことをいう。
致知格物, ちちかくぶつ, 物事の道理を極めて、知識を最大限に広げていくこと。「格物」は物事の道理を極めつくすこと。「致知」は知識を極めること。
池塘春草, ちとうしゅんそう, 池の堤の春草の上で見た夢。夢の多い少年時代・青春時代の楽しさ、またそのはかなさのたとえ。
朝衣朝冠, ちょういちょうかん, 朝廷で働くときに着る正式な服装のこと。礼服。君主や臣下が身に着ける正式な服と冠ということから。
朝改暮変, ちょうかいぼへん, 命令や制令、法律などがすぐに変わってしまい、しっかりと定まることがないこと。朝に出した命令や法律などが、夕方には変わるという意味から。
朝朝暮暮, ちょうちょうぼぼ, 毎朝毎晩。「朝朝」は毎朝。「暮暮」は毎晩。
長命富貴, ちょうめいふうき, 長生きで、高い地位を持っていて、多くの資産があること。「貴」は高い地位を持っていること。
知略縦横, ちりゃくじゅうおう, 知恵を働かせて、状況に応じて策略を思いのままにあやつること。「知略」は知恵を働かせた策略。「縦横」は思うように操ること。
低回顧望, ていかいこぼう, 何かに心を引かれるなどして、行ったり戻ったり振り返ったりすること。「低回」は考え事をしつつ、ゆっくりと歩き回ること。「顧望」は振り返って見ること。
低頭傾首, ていとうけいしゅ, 頭を低くして身を慎むこと。「低頭」と「傾首」はどちらも首をたれるという意味。
電光影裏, でんこうえいり, 人の一生は短く儚いものだが、悟りを得た者の魂は滅びることなく、永久に存在するということのたとえ。
刀山剣樹, とうざんけんじゅ, 思いやりが一切無いむごたらしい刑罰。または、酷く危険な境遇。
同声異俗, どうせいいぞく, 生まれながらにして持っている素質は同じだが、教育や生活の環境によって人格に差が生じること。
洞庭春色, どうていしゅんしょく, みかんを使って発酵、熟成させて作った酒のこと。「洞庭」は中国にある湖の名前、洞庭湖のことで、洞庭湖の春の景色という意味から。
銅頭鉄額, どうとうてつがく, 勇敢で強いことのたとえ。または、槍や刀を通さない、頑丈な甲冑を身に付けた勇ましい兵士のこと。
得意忘言, とくいぼうげん, 悟りの境地に至った後には言葉は必要ないということ。荘子の教えの一つで、言葉は真理に至るため道具でしかないということから。
読書三昧, どくしょざんまい, 一日中、ずっと読書にふけること。「三昧」は一つのことに心を奪われて、ほかの事を蔑ろにすること。
徒手空拳, としゅくうけん, 物事を始める時に、助けとなるものが何一つないこと。「徒手」と「空拳」はどちらも手の中に何も無いという意味で、物事を始めるときに力として使うことが出来るものが何も無いことをいう。
土木壮麗, どぼくそうれい, 庭や建物が大きく美しいこと。「土木」は家の造作という意味から、庭や建物のたとえ。「壮麗」は大きくて立派なこと。
入境問禁, にゅうきょうもんきん, 知らない土地に行ったら、はじめにその地での禁止事項を聞いて、それを守ることが大切だということ。
博学審問, はくがくしんもん, 様々な学問を広く学び、深く細かいことを詳しく問うこと。儒教の朱子学の学問の過程にある「学、問、思、弁、行」のうち、学と問のことを意味する言葉。
万世不刊, ばんせいふかん, 途切れることなく、いつまでも伝わり続けること。または、いつまでも無くならないこと。
美人薄命, びじんはくめい, 美しい女性は運に恵まれず短命であることが多いという意味。「薄命」は短命なこと。運命に恵まれないこと。
百世不磨, ひゃくせいふま, いつまでも消えることなく存在し続けること。「百世」は世代が百代もの長い期間という意味から、非常に長い年月、後世まで長く続くという意味。
百折不撓, ひゃくせつふとう, 何度失敗して挫折感を味わっても、くじけずに立ち上がること。どんな困難にも臆せず、初めの意志を貫くこと。
風流三昧, ふうりゅうざんまい, 自然を親しんで、詩歌や書画などの高尚な遊びに夢中になること。「風流」は上品で風情があること。「三昧」はほかのことを忘れて熱中すること。
放胆小心, ほうたんしょうしん, 文章、主に漢文を作る心得で、始めは恐れずに思い切って表現して、ある程度熟練してからは細かい部分に注意して、文字や語句を十分に考えるのがよいというもの。または、それら二つの文章の形式のこと。
末法末世, まっぽうまっせ, 釈迦入滅から五百年を正法、そのあとの千年を像法、そのあとの一万年を末法といい、末法には仏の教えだけが残り、悟りを開ける修行者がいなくなり、仏法が衰え道徳の乱れた世の末のこと。
妙法一乗, みょうほういちじょう, 法華経だけが悟りを得られる唯一のものと説いたもの。「妙法」は仏法の妙法蓮華経、「一乗」は悟りを得るための唯一の道という意味。
無位無官, むいむかん, 地位や肩書き、階級などがないこと。「位」は地位や身分、「官」は役目や官職のこと。
無間地獄, むげんじごく, 仏教の八大地獄のうちの一つ。大罪を犯した者が死後落ちる場所で、絶え間ない責苦を受け続けるという八大地獄の中で最下層にある地獄のこと。
無駄方便, むだほうべん, 役にたっていないように見えるものが、実際は何かの役にたっていることもあること。「方便」は状況にあわせた方法のこと。
名論卓説, めいろんたくせつ, 本質を見通しているすぐれた意見のこと。素晴らしい意見と説という意味から。
迷惑千万, めいわくせんばん, 非常に迷惑なこと。「千万」は数が非常に多いという意味から、程度のはげしさをあらわす言葉。
物臭道心, ものぐさどうしん, 働いて生活をすることを嫌って僧侶になること。または、そのような僧侶のこと。
野戦攻城, やせんこうじょう, 野原や平地で戦闘をして、城を攻めること。「野戦」は野外で戦う、「攻城」は城を攻めること。
落月屋梁, らくげつおくりょう, 友人を思う切ない心情のこと。「落月」は沈んでいく月のこと。「屋梁」は屋根を支えるはり、または屋根のこと。
戮力同心, りくりょくどうしん, 心を合わせて協力すること。「戮力」は力を合わせること。「同心」は心を合わせること。
流言蜚語, りゅうげんひご, 根拠のない噂話のこと。「流言」と「蜚語」はどちらも世の中に飛び交うでたらめな話という意味。
